url	download_complete
cis.ieee.org?utm_source=ms-smap&utm_campaign=cis&utm_medium=lp&utm_term=Computational%20Intelligence	incomplete
jp.ieee.org	incomplete
advancement.uci.edu/about/contact.php	incomplete
www.connect.uci.edu/s/1735/interior-1col.aspx?sid=1735&gid=3&pgid=3&cid=40&returnUrl=http%3a%2f%2fwww.connect.uci.edu%2fs%2f1735%2finterior-1col.aspx%3fsid%3d1735%26gid%3d3%26pgid%3d61	incomplete
engage.alumni.uci.edu/DWAHost022319	incomplete
ieeecsc.org?utm_source=ms-smap&utm_campaign=superconductivity&utm_medium=lp&utm_term=Superconductivity	incomplete
cpmt.ieee.org?utm_source=ms-smap&utm_campaign=cpmt&utm_medium=lp&utm_term=cpmt	incomplete
sdn.ieee.org?utm_source=ms-smap&utm_campaign=sdn&utm_medium=lp&utm_term=sdn	incomplete
example.com	incomplete
technav.ieee.org/textui	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?gid=2&pgid=61160	incomplete
ieeer5.org	incomplete
resourcecenter.smartcities.ieee.org/smc/product/education/SMCWEB0040	incomplete
connect.uci.edu/ICS	complete
www.ewh.ieee.org/reg/4	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=427	complete
electronics360.globalspec.com?utm_source=ms-smap&utm_medium=lp&utm_campaign=globalspec-electronics&utm_term=Globalspec%20electronics	incomplete
www.embs.org?utm_source=ms-smap&utm_campaign=embs&utm_medium=lp&utm_term=EMBS	incomplete
sites.ieee.org/nanotech?utm_source=ms-smap&utm_campaign=nanotech&utm_medium=lp&utm_term=nanotech	incomplete
www.ieeesmc.org?utm_source=ms-smap&utm_campaign=smc&utm_medium=lp&utm_term=SMC	incomplete
www.connect.uci.edu/s/1735/interior-1col.aspx?sid=1735&gid=3&pgid=13&cid=664	incomplete
www.ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Graduate&department=STATS&program=ALL	incomplete
www.signalprocessingsociety.org/newsletter	incomplete
www.ieee.org/about/help/security_privacy.html	incomplete
www.connect.uci.edu/s/1735/interior-1col.aspx?sid=1735&gid=3&pgid=61	complete
www.realworldengineering.org	incomplete
engage.alumni.uci.edu/s/1735/alumni/index.aspx?sid=1735&gid=2&pgid=2740&cid=7364	incomplete
refassist.ieee.org	incomplete
www.ewh.ieee.org/reg/3	incomplete
uci.edu/copyright	incomplete
standards.ieee.org/about/index.html?utm_source=mm_link&utm_campaign=about&utm_medium=std&utm_term=about%20standards	incomplete
www.ieeecss.org	incomplete
ieee-edusociety.org?utm_source=ms-smap&utm_campaign=edsoc&utm_medium=lp&utm_term=EDSOC	incomplete
directory.uci.edu/index.php?uid=dyckh	incomplete
www.accreditation.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=accreditation&utm_term=accreditation	incomplete
www.ieee-isto.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=standards-isto&utm_term=standards%20isto	incomplete
connect.uci.edu/s/1735/interior2.aspx?sid=1735&gid=3&pgid=686	incomplete
indi.com/ucialumni/theinsidezot	incomplete
innovate.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=innovate&utm_term=innovate	incomplete
standards.ieee.org/news/index.html?utm_source=mm_link&utm_campaign=news&utm_medium=std&utm_term=standards%20news	incomplete
ieeeauthorcenter.ieee.org/about-the-ieee-monthly-newsletter	incomplete
connect.uci.edu/s/1735/interior2.aspx?sid=1735&gid=3&pgid=719&cid=1557	incomplete
ieee-vics.org?WT.mc_id=mor_vics_i	incomplete
www.ieee-ies.org?utm_source=ms-smap&utm_campaign=ies&utm_medium=lp&utm_term=IES	incomplete
www.ieee-ras.org?utm_source=ms-smap&utm_campaign=ras&utm_medium=lp&utm_term=RAS	incomplete
give.uci.edu/ways/faq.php	incomplete
www.ieee.org/accessibility_statement.html	incomplete
www.ieeedeis.org?utm_source=ms-smap&utm_campaign=deis&utm_medium=lp&utm_term=DEIS	incomplete
www.datasheets360.com?utm_source=ms-smap&utm_medium=lp&utm_campaign=globalspec-datasheets&utm_term=Globalspec%20datasheets	incomplete
www.pnas.org/content/114/33/8689.full	incomplete
www.photonicssociety.org?utm_source=ms-smap&utm_campaign=photonics&utm_medium=lp&utm_term=Photonics	incomplete
fiacardservicesgroup.tt.omtrdc.net/m2/fiacardservicesgroup/ubox/page?mbox=webportal&mboxDefault=https://secure.bankofamerica.com/applynow/timeout.go&tagname=Portal-UnivofCalifornia-IrvineAlumni	incomplete
ucifoundation.org	incomplete
www.ucieas.com	incomplete
ieeeauthorcenter.ieee.org	incomplete
www.comsoc.org?utm_source=ms-smap&utm_campaign=comsoc&utm_medium=lp&utm_term=Comsoc	incomplete
www.ieee.org/site_terms_conditions.html?WT.mc_id=hpf_terms&utm_source=hp&utm_campaign=hpf_terms&utm_medium=hpf&utm_term=terms%20conditions	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=61	incomplete
conferences.ieeeauthorcenter.ieee.org	incomplete
www.uci.edu/copyright.php	incomplete
ieeeauthorcenter.ieee.org/contact-us	incomplete
www.globalspec.com?WT.mc_id=glo_eng360_i	incomplete
engage.alumni.uci.edu/s/1735/alumni/index.aspx?sid=1735&gid=2&pgid=2829&cid=7485&post_id=0	incomplete
www.informatics.uci.edu	incomplete
merchandise.ieee.org	incomplete
cn.ieee.org	incomplete
ieee-ceda.org	incomplete
www.ieee-cas.org?utm_source=ms-smap&utm_campaign=cas&utm_medium=lp&utm_term=CAS	incomplete
www.ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Lower-Division&department=STATS&program=ALL	complete
digitalsenses.ieee.org?utm_source=ms-smap&utm_campaign=digital-senses&utm_medium=lp&utm_term=digital%20senses	incomplete
connect.uci.edu/s/1735/interior-1col.aspx?sid=1735&gid=3&pgid=3&cid=40&returnUrl=https%3a%2f%2fsecure.connect.uci.edu%2fs%2f1735%2finterior-1col.aspx%3fsid%3d1735%26gid%3d3%26pgid%3d801%26cid%3d1850	incomplete
www.ieee.org/membership_services/index.html	incomplete
directory.uci.edu/index.php?uid=baldib	complete
ieee-collabratec.ieee.org	incomplete
brand-experience.ieee.org	incomplete
proceedingsoftheieee.ieee.org?WT.mc_id=mor_pro_i	incomplete
proceedings-of-the-ieee.ieee.org	incomplete
book.uci.edu	incomplete
ieee-ceda.org?utm_source=ms-smap&utm_campaign=eda&utm_medium=lp&utm_term=EDA	incomplete
innovationatwork.ieee.org	incomplete
www.stanford.edu	incomplete
annualreport.ieee.org?WT.mc_id=sitemap_ar16_i	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=3&cid=40&returnurl=http%3A%2F%2Fucirvine.imodules.com%2Fs%2F1735%2Falumni%2Findex.aspx%3Fsid%3D1735%26gid%3D2%26pgid%3D94%26cid%3D256%23%2FPersonalProfile	incomplete
lifesciences.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=fd-life-sciences&utm_term=life%20sciences	incomplete
ieee-vics.org	incomplete
www.ics.uci.edu/~smyth/courses/stats5	incomplete
grouper.ieee.org/groups/index.html	incomplete
alumni.uci.edu/newkirk/maps.php	incomplete
www.oit.uci.edu	incomplete
www.ieee.org/site_terms_conditions.html?WT.mc_id=hpf_terms	incomplete
ieeexplore.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=xplore&utm_term=IEEE%20Xplore	incomplete
annualreport.ieee.org?utm_source=ms-smap&utm_campaign=annual-report&utm_medium=lp&utm_term=annual%20report	incomplete
uci.edu/privacy	incomplete
www.ieee-pes.org	incomplete
alumni.uci.edu/newkirk/rent.php	incomplete
www.ieee.org/privacy	incomplete
ieee-npss.org?utm_source=ms-smap&utm_campaign=npss&utm_medium=lp&utm_term=NPSSh	incomplete
ieeeauthorcenter.ieee.org/peer-review-at-ieee/become-an-ieee-reviewer	incomplete
engage.alumni.uci.edu?sid=1735&gid=2&pgid=3069&cid=7867&ecid=7867&crid=0&calpgid=427&calcid=1085	incomplete
rebootingcomputing.ieee.org?utm_source=ms-smap&utm_campaign=rebooting&utm_medium=lp&utm_term=rebooting%20computing	incomplete
www.ieee-pels.org?utm_source=ms-smap&utm_campaign=pels&utm_medium=lp&utm_term=PELS	incomplete
latexqc.ieee.org	incomplete
ieeespectrumreprints.magreprints.com	incomplete
spectrum.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=spectrum&utm_term=spectrum	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?gid=2&pgid=61	incomplete
brand-experience.ieee.org?WT.mc_id=mor_ibe_i	incomplete
www.trynano.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=trynano&utm_term=trynano	complete
epics.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=epics&utm_term=epics	incomplete
ewh.ieee.org/soc/pses?utm_source=ms-smap&utm_campaign=pses&utm_medium=lp&utm_term=PSES	incomplete
www.uci.edu	incomplete
www.ieeeusa.org/default.asp	incomplete
www.standardsuniversity.org?utm_source=mm_link&utm_campaign=std_univ&utm_medium=ec&utm_term=standards%20university	incomplete
www.stat.uci.edu/news	incomplete
engage.alumni.uci.edu/s/1735/alumni/index.aspx?sid=1735&gid=2&pgid=2971&cid=7707&ecid=7707&crid=0&calpgid=427&calcid=1085	incomplete
alumni.uci.edu/saa/dinners.php	incomplete
www.vtsociety.org?utm_source=ms-smap&utm_campaign=vts&utm_medium=lp&utm_term=VTS	incomplete
careers.ieee.org/subscribe_alerts/subscribenew.html	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=61&cid=160	incomplete
careers.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=job-site&utm_term=job%20site	incomplete
signalprocessingsociety.org/our-story/boards-and-committees	complete
cybersecurity.ieee.org?utm_source=ms-smap&utm_campaign=cyber-security&utm_medium=lp&utm_term=cyber%20security	incomplete
sscs.ieee.org?utm_source=ms-smap&utm_campaign=sscs&utm_medium=lp&utm_term=solid%20state%20circuits	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=632&cid=1381	incomplete
connect.uci.edu/s/1735/interior.aspx?sid=1735&gid=3&pgid=95&gfid=86&pem=1	incomplete
sites.ieee.org/itss?utm_source=ms-smap&utm_campaign=itss&utm_medium=lp&utm_term=ITSS	incomplete
standards.ieee.org/getinvolved/index.html?utm_source=mm_link&utm_campaign=giw&utm_medium=std&utm_term=get%20involved%20with%20standards	incomplete
www.ieeeoes.org?utm_source=ms-smap&utm_campaign=oes&utm_medium=lp&utm_term=OES	incomplete
spectrum.ieee.org?utm_source=mm_link&utm_campaign=sp&utm_medium=pubs&utm_term=spectrum%20home	complete
alumni.uci.edu	complete
eds.ieee.org?utm_source=ms-smap&utm_campaign=eds&utm_medium=lp&utm_term=Electron%20Devices	incomplete
jobs.ieee.org/jobs/search/results?locationType=text&kwsMustContainPhrase=signal+processing&category%5B0%5D=signal_processing&rows=50	incomplete
www.ieeecss.org?utm_source=ms-smap&utm_campaign=css&utm_medium=lp&utm_term=CSS	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=2581	incomplete
www.ieee.org/publications_standards/index.html	incomplete
www.ewh.ieee.org/reg/10	incomplete
arxiv.org/abs/1504.00860	incomplete
connect.uci.edu/s/1735/interior.aspx?sid=1735&gid=3&pgid=95&gfid=97&pem=1	incomplete
standards.ieee.org/findstds/index.html?utm_source=mm_link&utm_campaign=find&utm_medium=std&utm_term=find%20standards	incomplete
ieee-collabratec.ieee.org?utm_source=ms-smap&utm_campaign=collabratec&utm_medium=lp&utm_term=Collabratec	incomplete
give.uci.edu/ways/index.php	incomplete
standards.ieee.org	incomplete
publication-recommender.ieee.org/home	incomplete
www.itsoc.org?utm_source=ms-smap&utm_campaign=its&utm_medium=lp&utm_term=ITS	incomplete
www.trycomputing.org	incomplete
www.stat.uci.edu/wp-content/stat/uploads/Fan2-450x600-e1547156937381.jpg	incomplete
proceedingsoftheieee.ieee.org	incomplete
statconsulting.uci.edu	incomplete
www.ieee.ca	incomplete
www.ics.uci.edu/~yamingy	incomplete
technologyandsociety.org?utm_source=ms-smap&utm_campaign=ssit&utm_medium=lp&utm_term=SSIT	incomplete
ieeexplore.ieee.org/Xplore/home.jsp	incomplete
standards.ieee.org?utm_source=ms-smap&utm_campaign=stand-assoc&utm_medium=lp&utm_term=Standards%20Association	incomplete
bts.ieee.org?utm_source=ms-smap&utm_campaign=bts&utm_medium=lp&utm_term=bts	incomplete
standards.ieee.org/develop/regauth/oui/index.html?utm_source=mm_wdw&utm_campaign=regauth&utm_medium=std&utm_term=regauth	incomplete
scsp2019.fd.cvut.cz	incomplete
www.grss-ieee.org?utm_source=ms-smap&utm_campaign=grss&utm_medium=lp&utm_term=GRSS	incomplete
